sah, POS, translation
отой,adv.,"entirely, totally, at all"
отон,n.,berry
"оттон conj. but, and",,
оттоо=,n.,"to light, kindle"
оттук,n.,fuel
отун=,v.,"to make fire, light, kindle"
отут,num.,"thirty, 30"
отуу,n.,grass hut
отчуот,n.,"report, account [<Russ. отчёт];"
отчуоттаа=,v.,to report
оччоҕо,adv.,"then, at that time"
оччугун,a.,small
ох,n.,arrow;
ох саа,n.,bow
охсуо=,v.,to fight
охтор=,v.,"to make fall, cause to fall"
оһоҕос,n.,"intestines, guts"
оһох,n.,"stove, oven, furnace"
өҕүй=,v.,"to burp, belch;"
өҕүт=,v.,"to make burp, belch"
өй,n.,"mind, intellect, intelligence;"
өйдөө=,v.,to understand
өйөө=,v.,to support
өйүө,n.,"provisions, energy sack for the road;"
өйөө=,v.,to support
өл,n.,exterior part of a carp
өл=,v.,to die;
өлөр=,v.,"to kill, slay;"
өлөрт=,v.,to murder;
өлбүт,a.,
өлөр=,v.,"to earn, gain; to overwork, produce"
өлүөр,a.,healthy
өө,exc.,Oh!
өр,a.,"long, continued, at length"
өр=,v.,to knit
өркөй=,v.,to become enthusiastic
өркөн,a.,"victorious, invincible"
өрөгөй,n.,"surface, elevation"
өрөй=,v.,"to look up; to keep up spirits, be enerjetic;"
өрөгөй,n.,
өрөө=,v.,"to rest, take a day off; to overnight; to spend a day;"
өрүс,n.,(large) river
өрүт,n.,side
өс,n.,"spite, hostility, enmity, hate"
өс,n.,"word, speech;"
тыл-өс,n.,"speech, language, hearsay, gossip;"
өссө,adv.,"still, yet, once more, again [<Russ. ещё]"
өстүөкүлэ,n.,glass [<Russ. стекло]
өт,n.,forest fire
өт=,v.,to ooze
өтөн,n.,"wild dove, pigeon"
өтөр,a.,recent;
өтөр,adv.,quickly
өтөх,n.,farm
өтүйэ,n.,hammer
өттүк,n.,thigh
өтүүктээ=,v.,to iron (clothing)
өһөө=,v.,to bear a grudge against;
"өһөс, өһөгөй",n.,"hostility, feud"
өһөс,a.,stubborn;
өһөс=,v.,"to oppose; to be stubborn, obstinate"
өһүл=,v.,"to disentangle, dismantle, untwist; to go back on one’s"
өһүр=,v.,to bear a grudge against someone;
өһүргэт=,v.,to offend;
па,exc.,Ugh! Faugh! Yuck!
паарта,n.,(student’s) desk [<Russ. парта]
падэж,n.,case (grammatical) [<Russ.]
парк,n.,park [<Russ.]
паровой,a.,steam-run [<Russ.]
партизан,"n., a.",partisan
пахай,exc.,Ugh! Faugh! Yuck!
пахайдыҥы,a.,"ugly, distasteful, obscene"
подсвешник,n.,candlestick [<Russ.]
поликлиника,n.,general clinic [<Russ.]
полк,n.,regiment [<Russ.]
помидор,n.,tomato [<Russ.]
"почта, пуочта",n.,mail
председатель,n.,"chairman, president [<Russ.]"
принцип,n.,principle [<Russ.]
промышленность,n.,industry [<Russ.]
рабочай,n.,worker [<Russ.]
революцюя,n.,revolution
редакция,n.,editorial office [<Russ.]
рэмонна=,v.,"to repair, fix [<Russ. ремонт]"
рэспублика,n.,republic
рецепт,n.,prescription [<Russ.]
ромб,n.,rhombus [<Russ.]
са,ono.,"Laugh!; (cf һа, ча)"
са гын=,v.,to laugh
саа,n.,"gun, bow;"
ох саа,n.,bow
саай=,v.,to hit;
саалын=,v.,to bump into
саамай,a.,the very
саараа=,v.,"to doubt, not dare;"
саараҥы,a.,"indecisive, uncertain"
саас,n.,age
"сааскы, сааскытааҕы",a.,pertaining to spring
саат,n.,shame;
саат,v.,to be ashamed
сааһы,n.,"order, hierarchy"
сабылаах,a.,closed
саҕа,n.,collar; border
саҕалаа=,v.,to begin
саҕах,n.,horizon
сайҕаа=,v.,to rinse
сайын,"n., adv.",summer;
сайын кыһын,n.,the whole year
сайын=,v.,"to develop, become developed"
сайыс=,v.,to be unwilling to let someone go
салаа=,v.,to lick ;
салааһын,n.,licking; leftover food
салай=,v.,"to manage, direct, lead, run;"
салайааччы,n.,manager
салҕаа=,v.,"to continue, lengthen;"
салҕааһын,n.,continuing;
салт=,v.,"to be bored, fed up"
самыыр,n.,rain;
хаар-самыыр,n.,rainy weather
саҥа,a.,new
саҥа,n.,speech;
саҥа-иҥэ,n.,speech;
саҥар=,v.,to speak
санаа,n.,though;
санаа,v.,to think [<Mong. sanağa];
эр санаа,n.,courage;
саҥардааһын,n.,comp. update
саҥас,a.,"daughter-in-law, sister-in-law"
сап,n.,thread;
таҥас-сап,n.,"clothes, clothing"
сарааппайдаа=,v.,to scratch [<Russ. царапай]
сарбый=,v.,to shorten
сарсыарда,"n., adv.",morning
сарсын,"n., adv.",tomorrow;
сарсыҥҥы,a.,"tomorrow’s, pertaining"
сарыы,n.,suede;
сарыы кынат,n.,bat (animal)
сата,n.,bezoar stone
сатаа=,v.,"to know how to do something, be able to;"
сатабыл,n.,
саха,"n., a.",Yakut;
саха тыл,n.,Yakut language;
Саха Сирэ,n.,
сахсый=,v.,to shake up
сахыматчыт,n.,chess player
саһар=,v.,to become yellow;
саһархай,a.,yellow
саһарҕа,n.,dawn
сибэкки,n.,flower
сибээ=,v.,to smear
сиидэ,n.,sieve
сиик,n.,humidity
сиик,n.,sap
сиикэй,a.,raw
сиир=,v.,to tear
сил,n.,saliva;
силлээ=,v.,to spit
силим,n.,glue
сим=,v.,to blink
сим=,v.,to stuff in
симик,a.,shy
симилий=,v.,"to vanish, disappear"
симитин=,v.,"to be shy, embarrassed"
сиппиир,n.,broom;
сиппий=,v.,to sweep
сипсий=,v.,to whisper
сир,n.,"land, earth, place; comp. site, website;"
сир аһа,n.,berry
сир=,v.,"to disdain, dislike, reject;"
сиргэт=,v.,to disgust;
сиргэн=,,
сирдьит,n.,guide (person)
сирэй,n.,"face ; individual, person; comp. page, webpage;"
сирэй,,
сит=,v.,"to reach, attain, catch up with"
ситим,n.,"connection, network, net"
ситис=,v.,"to succeed, achieve"
ситэ,adv.,completely
сиэ=,v.,to eat
сиэб,n.,pocket
сиэл,n.,mane
сиэмэх,a.,carnivorous
сиэҥ,n.,carrion
собуй=,v.,to replace;
солбук,n.,replacement
соҕуруу,n.,south;
саҕурууҥу,a.,"southern, south"
собуйар аат,n.,pronoun
соло,n.,"rank, position"
солоо=,v.,"to clean up, clear off, tidy; to clear a forest;"
солооһун,n.,
солуур,n.,bucket
сомоҕо,a.,"solid, integral"
сон,n.,coat (clothing)
соноо=,v.,"to grow stout, put on weight;"
сонос,a.,"stout, plump"
сонун,n.,news;
сонун нуомас,n.,news
соруйан,adv.,on purpose
сот=,v.,"to wipe, clean;"
сотун=,v.,to wipe oneself;
соттор,n.,towel
сото,n.,"shin, shank, tibia"
соттор,n.,towel
сох=,v.,to pound in a mortar;
соҕох,n.,pestle
соһут=,v.,to surprise;
соһуй=,v.,to be surprised;
соһук,a.,
сөбүл=,v.,to like
сөҥ,a.,"thick (of cream), low (of voice);"
сөҥ,v.,to settle to the bottom of
сөҥ=,v.,to precipitate
сөп,a.,"right, correct;"
"сөрү-сөп, сөбүс-сөп",a.,"very right, very"
сөпсүө=,v.,to approve [<Mong. ǰöbšiye-]
сөтөл,n.,cough;
сөтөлүн=,v.,to cough
сөтүөлэ=,v.,to swim
сөх=,v.,to admire
студен(т),n.,student [<Russ.]
субуй=,v.,"to stretch out, make trail;"
субулун=,v.,to trail;
субурҕа,n.,sheaf of wheat
субуруй=,v.,"to extend, stretch, shoot up;"
субурут=,v.,to cause to
субурхай,a.,"stretched, extended"
судургу,a.,simple
сул,a.,"ragged, naked, bare; lonely"
сулумах,a.,"unmarried, single"
сулус,n.,star
суо,n.,"greatness, respectability;"
суо,a.,"huge, respected"
суол,n.,"road, path, way;"
аат-суол,n.,fame
суолта,n.,meaning
суон,a.,"fat, thick"
суор,n.,raven;
суор-тураах,n.,carrion-crows
суорҕан,n.,blanket
суос,n.,"strictness, airs"
суох,v.,"there is/are not, there does not exist;"
суох,adv.,"no, not;"
суох,int.,no!
сурах,n.,news;
сурах-саддьык,n.,"gossip, rumors"
сургуй=,v.,"to squeeze through, slip through"
суруй=,v.,to write;
сурут=,v.,to make write;
сурук,n.,writing
сурук-бичик,n.,alphabet
сут,n.,hunger
суудам,a.,"quick, fast"
сууй=,v.,to wash;
суун=,v.,to be washed
"суул=, суулун=",v.,to fall down
суус=,v.,to be mistaken
суһал,a.,urgent
сүбэ,n.,advice;
сүбэһит,n.,advisor
сүгүрүй=,v.,"to worship, revere"
сүк=,v.,to carry on one’s back
сүл=,v.,"to skin, peel"
сүнньүнэн,adv.,"overall, generally"
сүөм,n.,inch
сүөмүйэ,n.,finger
сүөргү,a.,improper
сүр,n.,scarecrow
сүр,n.,"soul, eternal spirit; core"
сүргэ,n.,mood
сүрдьүгэс,n.,pole serving as a basis for a fence
сүрүн,a.,"basic, fundamental, essential"
сүрэх,n.,heart;
күөх сүрэх,n.,lazy person
сүт=,v.,to lose; to disappear
сүүй=,v.,to win;
сүүйтэр=,v.,to lose
сүүл=,v.,to be in heat (of animals)
сүүр=,v.,to run;
көтөр-сүүрэр,n.,"animals, animal kingdom"
сүүрбэ,num.,"twenty, 20"
сүүс,n.,forehead
сүүс,num.,(one) hundred
сыа,n.,"fat, grease, oil"
сыбах,n.,plaster
сыҕарый=,v.,to step aside
сыл,n.,year
сылаа,n.,tiredness;
сылай=,v.,to become tired;
сылат=,v.,to make
сылаас,a.,warm;
"сылай, сылааһыр=",v.,"to become warm, warm up"
сылай,v.,"to tire, become tired;"
сылат,v.,"to make tire, wear out"
сылҕарый=,v.,"to be moved aside, move aside;"
сылҕарыт=,v.,to
сыллаа=,v.,to kiss
сымнаҕас,a.,soft
сымса,a.,"crafty, cunning;"
сымсатый=,v.,to pretend to be crafty
сымса,a.,"quick, fast, rapid"
"сымса, сымсах",a.,tasteless;
сымсай=,v.,to become tasteless; to
сымыйа,n.,lie;
сымыйаччы,n.,liar
сымыыт,n.,egg
сынньан=,v.,to rest
сынтай=,v.,to be snub-nosed;
сынтаҕар,a.,snub-nosed
сыппах,a.,"blunt, dull"
сырай,n.,dial cf сирэй face
сырдык,a.,"light (of color), bright;"
сырдаа=,v.,to become light
сырыт=,v.,"to go; =а (=ыы) сырыт= conv., to do something"
сыстыган,a.,contagious
сыт,n.,"odor, smell;"
сыт-сымар,n.,"strong odor, bad smell"
сыт=,v.,to lie (down)
сыттык,n.,pillow
сытый=,v.,to rot;
сытыт=,v.,to make rot
сытыы,a.,"clever, cunning;"
сытыымсый=,v.,to pretend to be clever
сыһыамах,a.,sociable
сыһыан,n.,"relation, attitude"
сыһыар=,v.,to attach;
сыһын=,v.,to attach oneself to;
сыһыарыы,,
сыһыат,n.,adverb
сыһын=,v.,to stick to
сыыл=,v.,to crawl
сыылба,a.,"lazy, sluggish"
сыыс=,v.,to be mistaken;
сыыһа,n.,"mistake, error;"
сыыһа,a.,wrong
сэгэй=,v.,to be slightly opened;
сэгэт=,v.,to open slightly
сэдэх,a.,"rare, uncommon; sparse"
сэлэс=,v.,"to chat about idly, make small talk"
сэмэй,a.,modest
сэмэлээ=,v.,to reproach
сэниэ,a.,well-off
сэниэ,n.,energy
сэнэх,a.,in good condition
сэргээ=,v.,to show interest
сэттэ,num.,"seven, 7"
сэтэ,n.,malice
та,ono.,Tap!;
та гын=,v.,to tap
таабырын,n.,puzzle
таай=,v.,to guess
таал=,v.,to be petrified
таамах,a.,"enigmatic, puzzling"
таас,n.,"stone, rock"
таба,a.,correct
таба,n.,reindeer (Rangifer tarandus);
кыыл таба,n.,wild reindeer
табаары,n.,goods
табах,n.,tobacco
"табыл, табыс",n.,luck
таҕыс=,v.,to be taken out; to be published
тайаа=,v.,"to prop, support, lean"
тал=,v.,"to elect, choose, select;"
талба,a.,"chosen, choice;"
талымас,,
таламаһа,n.,comp. interface
талкайдаа=,v.,to push [<Russ. толкай]
таҥаа=,v.,arch. to put together pieces of material
таҥара,n.,"God, god"
таҥас,n.,"clothes, clothing;"
таҥас-сап,n.,"clothes, clothing"
таҥын=,v.,to dress oneself
тап=,v.,to hit (a mark)
таптаа=,v.,to love [<Mong. tabčiya=];
таптал,n.,love
тапыс=,v.,to get along with
тараа=,v.,to comb;
тараах,n.,comb
тарай=,v.,to become bald;
тараҕас,a.,bald
тарҕан=,v.,"to spread, be spread"
тарт=,v.,to pull
тас,n.,"exterior, outside;"
тастыҥ,a.,outer;
тастыҥ убай,n.,cousin
таскайдаа=,v.,to carry [<Russ. таскай]
тастыҥ,a.,outer; in indirect blood relationship;
тастыҥ убай,n.,
тат=,v.,to pull
татым,a.,insufficient
таһаар=,v.,to publish
таһарыы (падэж),n.,ablative (case)
таһым,n.,level
таһын=,v.,"to clap, applaud"
телеграф,n.,telegraph [<Russ]
тиий=,v.,"to reach, arrive"
тиир=,v.,to pull
тик=,v.,to sew
тилин=,v.,"to come to life, be revived"
тимир,n.,iron (metal);
тимир ууһа,n.,"ironsmith, blacksmith"
тимир=,v.,to drown
тимэх,n.,button
тиҥилэх,n.,claw;
киис тиҥилэҕэ,n.,stone bramble (Rubus
тирии,n.,"leather, hide, skin"
тирит=,v.,to sweat
тирээ=,v.,"to prop, support, lean"
тис=,v.,"to place on a spit or skewer; to string, thread"
тиһилик,n.,chain
тиһэх,a.,"last, final"
тиэр=,v.,to turn inside out
тиэрэ,a.,wrong
тобул,n.,"breakthrough, solution;"
тобул,v.,"to cut through, hack through;"
тобурах,n.,hail (weather);
тобурахтаа=,v.,to hail
тоҕо,int.,why?
тоҕус,num.,"nine, 9"
"тойо, тойон",n.,"boss, lord, master;"
тойот,n.,"lords, masters;"
токуруй=,v.,"to bend, curve;"
токурут=,v.,"to make bend, curve"
толкуй,n.,thought [<Russ. tolkuй];
толкуйдаа=,v.,to think
толон,n.,degree
толоон,n.,valley
томоон,n.,order
томтой=,v.,to bulge;
томтоҕой,a.,bulging
тоҥ,a.,frozen;
тоҥ=,v.,to freeze;
тоҥор=,v.,to make freeze;
тоҥсоҕой,n.,woodpecker
тоҥсуй=,v.,to knock
торбос,n.,calf (cow)
тот,n.,"repletion, full stomach;"
тот,a.,"well-fed, full;"
тот,v.,"to eat one’s fill, to"
тоттук,a.,"rude, offensive"
тох=,v.,"to pour, spill, throw out"
тохтоо=,v.,to stop;
тохтобул,n.,"stop (for a bus, rest, etc.)"
тоһоҕо,n.,"nail, tack"
тоһун=,v.,"to break, become broken"
тоһуур,n.,ambush;
тоһуй=,v.,to ambush
төбө,n.,head
төбөт,n.,"urchin, rascal, scamp"
төкүнүк,a.,round;
төкүнүй=,v.,to roll
төлөө=,v.,to pay;
төлөбүр,n.,payment
төнүн=,v.,to return
төрөппүт,n.,parent
төрүт,n.,origin
төрүччү,n.,genealogy
төһө,int.,how much
тубус=,v.,"to improve, become better"
туйах,n.,hoof
тула,n.,environs
тулаһа,n.,courtyard
тулуй=,v.,"to endure, tolerate;"
тулук,n.,"tolerance, endurance;"
тулун=,v.,to be pulled out
тума,n.,spice
тумалык,n.,"specialty, hobby"
тумул,n.,"cape, promontory"
тумус,n.,"bill, beak"
тунал,a.,shining white;
туналый=,v.,"to become white, turn white;"
туой=,"v., int.",to say what?;
туой=,v.,"to blabber, sing;"
туйаар=,v.,to sing
туом,n.,"custom, tradition"
туос,n.,birchbark
туох,int.,what
туохтуу (падэж),n.,nominative (case)
туохтуур,n.,verb
туоһу,n.,"witness, evidence"
тур=,v.,to stand; =ан тур= conv. to do something continuously
тураах,n.,crow;
суор-тураах,n.,carrion-crows
турба,n.,"pipe, tube, horn, trumpet, chimney [<Russ. (cf дурба)"
тургуй=,v.,"to be renewed, revived;"
тургут=,v.,"to renew, revive"
туртай=,v.,to become white;
туртат=,v.,"to make white, whiten"
туртас,n.,roe deer (Capreolus capreolus)
туруйа,n.,crane (bird)
турук,n.,"status, state, condition"
туруоруу,n.,comp. field
тус,adv.,separately;
туспа,a.,separate
тус,n.,"arch. side, direction"
тусаһа,n.,courtyard
тутаах,n.,handle
тутай=,v.,"to diminish, dwindle, waste away;"
тутах,a.,insufficient
туттуу (падэж),n.,instrumental (case)
тутул,n.,system
тутум,n.,"unit of length equivalent to the length of one’s fist, hand"
туур=,v.,"to handle, heft; to pull out"
туус,n.,salt
"туһа, туһан=",v.,to use
туһаай=,v.,"to direct, point at"
туһаан,n.,subject; pertinence
туһалаах,a.,beneficial
туһун=,v.,to wrestle;
тустуук,a.,able to wrestle
түбүк,n.,worry;
түбүк-садьык,n.,"worries, troubles, fuss"
түксү,exc.,"Enough!, Stop!"
түлүн=,v.,"to rise, heave"
түм=,v.,"to sum up, conclude; to unite;"
түмүк,v.,conclusion
түмэн,n.,parliament
түннүк,n.,window
түөлбэ,n.,"remote place, dialect"
түөрт,num.,"four, 4"
түөс,n.,"breast, chest;"
түһүлүк,n.,breastplate
түөс=,v.,"to evoke, recall (the past)"
түөһэй=,v.,to become senile;
түөһэт=,v.,to make senile
түргэн,a.,"quick, fast;"
түргэт=,v.,"to make quick, speed up"
түс=,v.,to fall;
бэлэскэр түһэр=,v.,to give a hostile reception
түү,n.,"fur, fluff;"
түүтэх,a.,fluffy
түүтэх,n.,sheaf
түһүк,n.,grammatical case
түһүлгэ,n.,"arena, forum"
түһүмэх,n.,chapter; round (in sports)
тыа,n.,"woods, forest, glen, countryside"
тыал,n.,wind;
тыалыр=,v.,"to blow, become windy"
тыас,n.,noise
тыатааҕы,n.,euph. bear
тыйыс,a.,"hard, tough, harsh;"
"тыйыһый, тыйыһыр=",v.,to become
тыл,n.,"tongue, language, word;"
уус тыл,n.,eloquence;
тыл-өс,n.,
тылбаасчыт,n.,translator
тылын=,v.,"to blossom, come alive"
тымныы,a.,cold;
тымный=,v.,to become cold
тыын,n.,breath;
тыын,v.,to breathe
тыыр=,v.,to cut open
тэбилик,n.,support; bicycle
тэбиҥ,n.,mentor; support
тэбээ=,v.,to shake off
тэл=,v.,to cut
тэлгэһэ,n.,"yard, lawn, courtyard"
тэлгээ=,v.,"to spread, furnish, provide with bedding"
тэллэй,n.,mushroom;
тэллэй,v.,to hang out one’s lower lip like a
тэлэй=,v.,"to reveal, disclose"
тэҥ,a.,equal
тэний=,v.,to be spread;
тэнит=,v.,to spread
тэп=,v.,to kick
тэрий=,v.,"to arrange, organize;"
тэрилтэ,n.,"company, institution"
тэс=,v.,to pierce through;
тэһэгэс,a.,pierced through
тэтэр=,v.,to become rosy;
тэтэркэй,a.,rosy
убаа=,v.,to be diluted;
убат=,v.,to dilute
убай,n.,brother (elder);
тастыҥ убай,n.,cousin
убай= ,v.,to burn (cf умай=)
угут,n.,"poultice, fomentation"
уй=,v.,"to support, support the weight of"
уйаа=,v.,to weight;
уйааһын,n.,weighing; scales
уйулҕа,n.,emotional state
ук=,v.,to put into
улаат=,v.,to grow
уларсы=,v.,to lend
уларый=,v.,to change
улахан,a.,"large, big;"
улаханныҥы,a.,"biggish, largish"
"уллуҥ, уллуҥах",n.,"sole (of foot), foot"
улуу,a.,"great, big, large"
умай= ,v.,to burn; (cf убай=)
умат=,v.,to make/cause to burn
умнас,n.,"stem, stalk"
умун=,v.,to forget;
умнуган,a.,forgetful
умус=,v.,to dive
уҥ=,v.,to faint
уой=,v.,to become fat;
уот=,v.,"to make fat, fatten"
уол (pl. уолатар),n.,"boy, son"
уол=,v.,"to subside, go down (of water), to run dry (of a body of"
уон,num.,"ten, 10"
уонна conj. and,,
уоп=,v.,to take a mouthful
уорба,n.,suspicion
уос,n.,"lip, lips"
уот,n.,fire;
дьиэ-уот,n.,"home, family;"
уоттуй=,v.,to spoil as a
уох,n.,"might, power;"
күүс-уох,n.,"strength, power, might"
ур,n.,"lump, knob"
урамньый,n.,art
уран,a.,"refined, exquisite"
уруок,n.,lesson
урут,adv.,"previously, before;"
урукку,a.,former
уруһуй,n.,painting; comp. image [<Russ. risuй];
уруһуйдаа=,v.,to
уст=,v.,to float;
муус устар,n.,April
утар=,v.,"to oppose, object"
утах,n.,"thirst, beverage;"
утат=,v.,to become thirsty
утуй=,v.,to sleep;
утут=,v.,to make sleep
утум,n.,heredity; system
уу,n.,water;
харах уута,n.,"tear, tears;"
уу-хаар,n.,wetness
уулун=,v.,to melt
уулусса,n.,street [<Russ. ulica]
уун=,v.,"to stretch, be stretched;"
ууннэр=,v.,to make stretch
уур=,v.,"to place, put; to decree;"
уураах,n.,decree
уураа=,v.,to kiss
уурай=,v.,"to stop, be dismissed;"
уурат=,v.,"to dismiss, make stop"
уус,n.,"smith; master, craftsman;"
ууһумсуй=,v.,to pretend to be a
уустук,a.,complicated;
уустугур=,v.,to become complicated
уу-хаар,n.,"lies, untruth"
уһаар=,v.,to cause to float
уһан,n.,handicraft
уһуй=,v.,"to teach, train, habituate to"
уһук,n.,endpoint
уһул=,v.,"to take off, dismiss"
уһун,a.,"long, tall"
үгэ,n.,fable
үгэс,n.,"custom, tradition, habit"
үксээ=,v.,to increase
үктээ=,v.,to step;
үктэл,n.,step
үллэр=,v.,"to divide, partition, distribute;"
үллэһик,n.,division
үлүй=,v.,to be frostbitten;
үлүт=,v.,to cause to be frostbitten
үлүн=,v.,to swell
үлэ,n.,work;
үлэлээ=,v.,"to work, provide with work, go to work;"
үлэс=,v.,"to agree upon, arrange for, make an agreement"
үлэх,n.,"reservation, contract, order"
үҥ(к)=,v.,"to pray, request, worship, revere;"
үҥүү,n.,praying
үҥкүү,n.,dance
үҥүс=,v.,to complain
үөн,n.,worm;
үөн көйүүр,n.,worms
үөрэн=,v.,"to learn, study;"
үөрэт=,v.,to teach;
үөрэх,n.,studies;
үөскээһин,n.,"suffix, morpheme, particle"
үөх=,v.,"to call names, to curse"
үөһү,n.,"top, upper part"
үөһүү,a.,"upper, above"
үп,n.,money;
үп-ас,n.,"fortune, prosperity"
үр,n.,wealth;
үр харчы,n.,wealth;
үр хамнас,n.,wealth
үргээ=,n.,to pick (a flower)
үрдүк,a.,tall
үрүмэ,n.,cream;
үрүмэтий=,v.,to become creamy
үрүмэччи,n.,(white) butterfly
үрүҥ,a.,white;
үрүҥ көмүс,n.,silver;
үрүҥ хара,n.,color
үрүт,n.,top (side)
үрэй=,v.,to destroy;
үрэйлин=,v.,to be destroyed
үрэх,n.,"small river, stream, rivulet"
үс,num.,"three, 3"
үт=,v.,"to fry, roast on a spit, roast on embers;"
үтэһэ,n.,spit
үт=,v.,to put into water
үт=,v.,"to strike, hit"
үтүгүн=,v.,to imitate
үтүмэх,n.,fishing pole
үтүө,a.,"good, benevolent, kind, noble;"
үтүөр=,v.,to become better
үтүрүй=,v.,"to knock over, shove aside"
үүн=,v.,to grow;
үүннэр=,v.,to make grow;
үүнүү,n.,growing;
үүнүгэс,n.,"shoot, sprout; puppy"
үүнээйи,n.,plant
үүр=,v.,to drive away
үүт,n.,hole
үүт,n.,milk
үһүй=,v.,to allegedly say;
үһүйээн,n.,legend
үчүгэй,a.,good;
үчүгэй-үчүгэй,a.,very good;
үчүгиий-үчүгэй,a.,
фонология,n.,phonology
футбуол,n.,"football, soccer [<Russ. futbol]"
фэрма,n.,farm
хаа,n.,"slip, case, cover; box, receptacle"
хаа,ono.,hoarseness;
хаа гын=,v.,"to be hoarse, speak in a hoarse"
хаай=,v.,"to lock up, lock in"
хаал=,v.,"to remain, stay;"
хааллар=,v.,"to leave behind, make stay;"
хаам=,v.,to walk
хаан,n.,blood
хаар,n.,snow;
хаардаа=,v.,"to snow, remove snow, consume snow"
хаарты,n.,cards (game) [<Russ. karta]
хаартыска,n.,"picture, photograph [<Russ. карточка]"
хаас,n.,goose;
кус-хаас,n.,water fowl
хааха,n.,dial. dried fish
"хаахынай, хааха",n.,small perch (fish)
хабах,n.,bladder
хабдьы,n.,partridge
хабылык,v.,a type of game
хабыр,a.,"rude, sharp"
хабыс=,v.,to wrestle with;
хапсаҕай,n.,wrestling match
хайа,exc.,Well! What now?!
хайаа=,"v., int.",to do what?
хайҕаа=,v.,to praise;
хайҕал,n.,praise
хайдах,int.,how
хайыс=,n.,to turn;
хайысха,n.,direction
хайыһар,n.,skis;
хайыһардаа=,v.,to ski
халаан,n.,flood;
халай=,v.,to overflow
халлаан,n.,sky;
халлаан күөҕэ,a.,blue
халтарый=,v.,to slip;
халтарыт=,v.,"to trip up, make slip;"
халын=,v.,to clear up (of the sky)
халыып,n.,comp. template
хамаҕа,a.,"saleable, marketable"
хамаҕай,a.,"able, skillful"
"хамнаа, хамсаа=",v.,to move;
хамнааһын,n.,"moving, movement;"
хамначчыт,n.,servant
хампарый=,v.,to break into pieces;
хампархай,a.,breakable
ханна,int.,where
ханнык,int.,which
хаҥсый=,v.,"to snuffle, speak through the nose;"
хаҥсыа,a.,
хантан,int.,from where
хап=,v.,to catch; to encompass;
хабылык,n.,game of catching
хаппах,n.,"cover, lid"
хаппахчы,n.,storeroom
хаппыйах,n.,comp. folder
хаптай=,v.,to become flat;
хаптат=,v.,"to make flat, flatten;"
хапхаан,n.,trap [<Russ. капкан]
хара,a.,black;
хап-хара,a.,jet black;
хара дьай,n.,"misfortune, bad"
харай=,v.,"to hide away, take good care"
харам,a.,"thrifty, economical"
хараҥа,a.,dark (of color);
хараҥа саарыл,a.,"purple, violet;"
харах,n.,eye;
харах уута,n.,"tear, tears;"
сирэй харах,n.,face
харбаа=,v.,to sweep;
харбыыр,n.,broom
харда,n.,"reply, answer;"
хардар=,v.,"to reply, answer"
харчы,n.,money;
үр харчы,n.,wealth
харыс,n.,"care, protection;"
харыһый=,v.,"to protect, care for"
харыс=,v.,"to wrestle, butt"
хас,int.,how much?
хас=,v.,to dig
хаспах,n.,hole
хастаа=,v.,"to dig, scrape"
хасыс=,v.,"to rake through, search through, ransack"
хат,a.,"extra, additional"
хат=,v.,to become dry;
хатыр=,v.,to become dry (of skin)
хат=,v.,"to twist, weave (a rope)"
хата,adv.,finally
хатаа=,v.,to lock;
хатыыр,n.,lock
хатан,a.,"hard, firm, strong"
хатат,n.,"flint, flintstone"
хатта,n.,large intestine of a horse
хатылыыга,n.,comp. frequency
хатыҥ,n.,birch (Betula sp.)
хатын,n.,"dial cf хотун lady, mistress"
хатыҥыр,a.,slender
хатырык,n.,"bark, scale"
хатыс,n.,leather rope
хах,n.,"cover, skin, shell"
хахай,n.,lion;
хахай,v.,to growl fiercely
хахсый=,v.,to cough heavily
хахха,n.,shelter
хаһыат,n.,"newspaper, gazette [<Russ. газета]"
хаһыс,int.,which
хаһыы,n.,"yell, scream;"
хаһыыр=,v.,"to yell, scream"
хачайдаа=,v.,comp. download
хобуо,n.,slander;
хобуоччу,v.,slanderer
хой баһа,a.,"stupid, rubbish"
хойук,adv.,dial cf хойут later
хойут,adv.,later
хойуу,v.,thick;
хойун=,v.,to thicken
хол,n.,(rear) leg
холбоо=,v.,to connect;
холбос=,v.,to unite;
холбоһук,n.,union;
холку,a.,"calm, relaxed"
холоо=,v.,to compare;
холоон,a.,no better
холун=,v.,"to be defamed, disgraced"
холуочук,a.,tipsy;
холуочуй=,v.,to become tipsy
хом,a.,sad;
хомой=,v.,"to be sad, become sad"
хомус,n.,"mouth harp, Jews harp"
хон=,v.,"to stay over night, spend the night;"
хоноһо,n.,overnight
хоҥун=,v.,to be torn off
хор,a.,quickly consumed
хор=,v.,to furrow;
хоруй=,v.,to plough (not deeply); to shave;
хоргй=,v.,"to hunger, be hungry"
хоргут=,v.,to be offended
хороо=,v.,"to quickly consume, gobble up, to waste;"
хором,a.,
хортуоска,n.,potato [<Russ. картофель]
хоруо,n.,"soot, coal"
хоруолук,n.,carbohydrate
хос,a.,"additional, secondary"
хос,n.,room
хоспох,n.,"small room, pantry"
хоту,n.,north;
хотуҥу,a.,"northern, north"
хотун (pl. хотут),n.,"lady, mistress"
хотуур,n.,scythe
хоһоон,n.,poem;
хоһоонндьут,n.,poet;
хоһуй=,v.,to sing in a
хоһуун,a.,"diligent, energetic"
һа,ono.,"Laugh!; ( cf са, ча)"
